instance,nodes,edges,mode,gamma_mode,gamma_max,gamma_min,n_steps,replicas,seed,lr,beta_min,beta_max,best_cut,best_value,gap,percent_accuracy,best_step,best_replica,runtime_sec,vanilla_cut,vanilla_gap,vanilla_percent_accuracy,vanilla_runtime_sec,delta_cut_vs_vanilla,delta_gap_vs_vanilla,delta_accuracy_vs_vanilla,runtime_ratio_vs_vanilla,history_path,summary_path
G1,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,11611.0,11624,13.0,99.88816242257398,408,43,20.340349197387695,11446.0,178.0,98.46868547832072,4.368304967880249,165.0,165.0,1.4194769442532618,4.656348251083301,qefem_v1_outputs/G1_qefem_anneal_history.csv,qefem_v1_outputs/G1_qefem_anneal_summary.csv
G2,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,11610.0,11620,10.0,99.91394148020655,388,61,20.147006034851074,11435.0,185.0,98.407917383821,4.299664258956909,175.0,175.0,1.506024096385545,4.685716098153836,qefem_v1_outputs/G2_qefem_anneal_history.csv,qefem_v1_outputs/G2_qefem_anneal_summary.csv
G3,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,11610.0,11622,12.0,99.89674754775426,486,51,19.713758945465088,11443.0,179.0,98.45981758733436,4.356320858001709,167.0,167.0,1.4369299604199028,4.525322993427991,qefem_v1_outputs/G3_qefem_anneal_history.csv,qefem_v1_outputs/G3_qefem_anneal_summary.csv
G4,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,11637.0,11646,9.0,99.9227202472952,435,71,20.27332091331482,11503.0,143.0,98.77211059591276,4.275008916854858,134.0,134.0,1.1506096513824389,4.742287398134829,qefem_v1_outputs/G4_qefem_anneal_history.csv,qefem_v1_outputs/G4_qefem_anneal_summary.csv
G5,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,11622.0,11631,9.0,99.92262058292494,402,53,19.919530868530273,11450.0,181.0,98.4438139454905,4.1619250774383545,172.0,172.0,1.478806637434431,4.786133939919614,qefem_v1_outputs/G5_qefem_anneal_history.csv,qefem_v1_outputs/G5_qefem_anneal_summary.csv
G6,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2173.0,2178,5.0,99.7704315886134,468,59,20.54370093345642,1978.0,200.0,90.81726354453627,4.394010782241821,195.0,195.0,8.953168044077131,4.675387010082629,qefem_v1_outputs/G6_qefem_anneal_history.csv,qefem_v1_outputs/G6_qefem_anneal_summary.csv
G7,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,1992.0,2006,14.0,99.30209371884347,398,74,19.921515941619873,1822.0,184.0,90.82751744765704,4.333262920379639,170.0,170.0,8.474576271186422,4.5973476125641,qefem_v1_outputs/G7_qefem_anneal_history.csv,qefem_v1_outputs/G7_qefem_anneal_summary.csv
G8,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,1991.0,2005,14.0,99.30174563591022,409,102,20.028872966766357,1856.0,149.0,92.56857855361596,4.411135911941528,135.0,135.0,6.733167082294258,4.540525018180816,qefem_v1_outputs/G8_qefem_anneal_history.csv,qefem_v1_outputs/G8_qefem_anneal_summary.csv
G9,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,2041.0,2054,13.0,99.36708860759494,307,94,19.82308793067932,1840.0,214.0,89.5813047711782,4.523475885391235,201.0,201.0,9.78578383641674,4.382268952665108,qefem_v1_outputs/G9_qefem_anneal_history.csv,qefem_v1_outputs/G9_qefem_anneal_summary.csv
G10,800,19176,qefem_anneal,anneal,1.0,0.0,1000,128,0,0.01,2.0,12500.0,1992.0,2000,8.0,99.6,587,122,19.065519094467163,1819.0,181.0,90.95,4.260000944137573,173.0,173.0,8.649999999999991,4.475472973944829,qefem_v1_outputs/G10_qefem_anneal_history.csv,qefem_v1_outputs/G10_qefem_anneal_summary.csv
