partition,graph,step,beta,gamma,loss,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,best_known_cut,gap,accuracy_percent,R_mean,rx_abs_mean,rz_abs_mean,best_replica_so_far,elapsed_sec
10,G55,1,0.8620690107345581,1.0,-10318.962890625,-10318.962890625,6249.0,6249.0,6208.7109375,6326.0,6326.0,10299.0,3973.0,61.423439168851345,0.01009947806596756,0.010099225677549839,6.973502604523674e-05,73,0.046672821044921875
10,G55,50,0.9065311551094055,0.9509509801864624,-10150.30078125,-10150.30078125,6249.0,6249.0,6252.9765625,6388.0,6388.0,10299.0,3911.0,62.02543936304495,0.01679905317723751,0.01679905317723751,3.712329544214299e-06,11,0.7813129425048828
10,G55,100,0.9568911194801331,0.9009009003639221,-10006.5654296875,-10006.5654296875,6249.0,6249.0,6011.9609375,6139.0,6388.0,10299.0,3911.0,62.02543936304495,0.031085442751646042,0.031085442751646042,6.111837365097017e-07,11,1.578610897064209
10,G55,150,1.0131754875183105,0.8508508205413818,-9930.2412109375,-9930.2412109375,6249.0,6249.0,3025.578125,5037.0,6388.0,10299.0,3911.0,62.02543936304495,0.06460089236497879,0.0646008625626564,5.1931881898781285e-05,11,2.424246072769165
10,G55,200,1.076494812965393,0.8008008003234863,-9990.9482421875,-9990.9482421875,6249.0,6249.0,1722.609375,5671.0,6388.0,10299.0,3911.0,62.02543936304495,0.14457283914089203,0.14457271993160248,0.0001516725606052205,11,3.236154079437256
10,G55,250,1.1482561826705933,0.7507507801055908,-10183.39453125,-10183.39453125,6249.0,6249.0,2009.796875,4708.0,6388.0,10299.0,3911.0,62.02543936304495,0.29912450909614563,0.29912441968917847,0.00019918695033993572,11,4.063112020492554
10,G55,300,1.2302684783935547,0.7007007002830505,-10305.005859375,-10305.005859375,6471.919921875,6515.0703125,9970.4375,10045.0,10045.0,10299.0,254.0,97.5337411399165,0.4779075086116791,0.42413708567619324,0.19038566946983337,59,4.908663988113403
10,G55,350,1.324897050857544,0.6506506204605103,-10599.84375,-10599.84375,7531.3681640625,7560.4580078125,10091.5,10140.0,10140.0,10299.0,159.0,98.45616079230993,0.6568265557289124,0.41153377294540405,0.46238216757774353,45,5.5888471603393555
10,G55,400,1.435295581817627,0.6006006002426147,-10758.330078125,-10758.330078125,8319.314453125,8357.283203125,10122.0390625,10167.0,10167.0,10299.0,132.0,98.7183221672007,0.7702546715736389,0.40462151169776917,0.6059695482254028,28,6.173835039138794
10,G55,450,1.5657646656036377,0.5505505800247192,-10751.755859375,-10751.755859375,8778.978515625,8820.1796875,10135.96875,10181.0,10181.0,10299.0,118.0,98.85425769492184,0.829572319984436,0.3887988030910492,0.6851235032081604,28,6.732129096984863
